removed 0 of 256 bricks at b=256; deleted bricks: 0
removed 0 of 256 bricks at b=512; deleted bricks: 0
removed 0 of 256 bricks at b=768; deleted bricks: 0
removed 0 of 256 bricks at b=1024; deleted bricks: 0
removed 0 of 256 bricks at b=1280; deleted bricks: 0
removed 0 of 256 bricks at b=1536; deleted bricks: 0
removed 0 of 256 bricks at b=1792; deleted bricks: 0
removed 0 of 256 bricks at b=2048; deleted bricks: 0
removed 0 of 256 bricks at b=2304; deleted bricks: 0
removed 0 of 256 bricks at b=2560; deleted bricks: 0
removed 0 of 256 bricks at b=2816; deleted bricks: 0
removed 0 of 256 bricks at b=3072; deleted bricks: 0
removed 0 of 256 bricks at b=3328; deleted bricks: 0
removed 0 of 256 bricks at b=3584; deleted bricks: 0
removed 0 of 256 bricks at b=3840; deleted bricks: 0
removed 0 of 256 bricks at b=4096; deleted bricks: 0
removed 0 of 256 bricks at b=4352; deleted bricks: 0
removed 0 of 256 bricks at b=4608; deleted bricks: 0
removed 0 of 256 bricks at b=4864; deleted bricks: 0
removed 0 of 256 bricks at b=5120; deleted bricks: 0
removed 0 of 256 bricks at b=5376; deleted bricks: 0
removed 0 of 256 bricks at b=5632; deleted bricks: 0
removed 0 of 256 bricks at b=5888; deleted bricks: 0
removed 0 of 256 bricks at b=6144; deleted bricks: 0
removed 0 of 256 bricks at b=6400; deleted bricks: 0
removed 0 of 256 bricks at b=6656; deleted bricks: 0
removed 0 of 256 bricks at b=6912; deleted bricks: 0
removed 0 of 256 bricks at b=7168; deleted bricks: 0
removed 0 of 256 bricks at b=7424; deleted bricks: 0
removed 0 of 256 bricks at b=7680; deleted bricks: 0
removed 0 of 256 bricks at b=7936; deleted bricks: 0
removed 0 of 256 bricks at b=8192; deleted bricks: 0
removed 0 of 256 bricks at b=8448; deleted bricks: 0
removed 0 of 256 bricks at b=8704; deleted bricks: 0
removed 0 of 256 bricks at b=8960; deleted bricks: 0
removed 0 of 256 bricks at b=9216; deleted bricks: 0
removed 0 of 256 bricks at b=9472; deleted bricks: 0
removed 0 of 256 bricks at b=9728; deleted bricks: 0
removed 0 of 256 bricks at b=9984; deleted bricks: 0
removed 0 of 256 bricks at b=10240; deleted bricks: 0
removed 0 of 256 bricks at b=10496; deleted bricks: 0
removed 0 of 256 bricks at b=10752; deleted bricks: 0
removed 0 of 256 bricks at b=11008; deleted bricks: 0
removed 0 of 256 bricks at b=11264; deleted bricks: 0
removed 0 of 256 bricks at b=11520; deleted bricks: 0
removed 0 of 256 bricks at b=11776; deleted bricks: 0
removed 0 of 256 bricks at b=12032; deleted bricks: 0
removed 0 of 256 bricks at b=12288; deleted bricks: 0
removed 0 of 256 bricks at b=12544; deleted bricks: 0
removed 0 of 256 bricks at b=12800; deleted bricks: 0
removed 0 of 256 bricks at b=13056; deleted bricks: 0
removed 0 of 256 bricks at b=13312; deleted bricks: 0
removed 0 of 256 bricks at b=13568; deleted bricks: 0
removed 0 of 256 bricks at b=13824; deleted bricks: 0
removed 0 of 256 bricks at b=14080; deleted bricks: 0
removed 0 of 256 bricks at b=14336; deleted bricks: 0
removed 0 of 256 bricks at b=14592; deleted bricks: 0
removed 0 of 256 bricks at b=14848; deleted bricks: 0
removed 0 of 256 bricks at b=15104; deleted bricks: 0
removed 0 of 256 bricks at b=15360; deleted bricks: 0
removed 0 of 256 bricks at b=15616; deleted bricks: 0
removed 0 of 256 bricks at b=15872; deleted bricks: 0
removed 0 of 256 bricks at b=16128; deleted bricks: 0
removed 0 of 256 bricks at b=16384; deleted bricks: 0
removed 0 of 256 bricks at b=16640; deleted bricks: 0
removed 0 of 256 bricks at b=16896; deleted bricks: 0
removed 0 of 256 bricks at b=17152; deleted bricks: 0
removed 0 of 256 bricks at b=17408; deleted bricks: 0
removed 0 of 256 bricks at b=17664; deleted bricks: 0
removed 0 of 256 bricks at b=17920; deleted bricks: 0
removed 0 of 256 bricks at b=18176; deleted bricks: 0
removed 0 of 256 bricks at b=18432; deleted bricks: 0
removed 0 of 256 bricks at b=18688; deleted bricks: 0
removed 0 of 256 bricks at b=18944; deleted bricks: 0
removed 0 of 256 bricks at b=19200; deleted bricks: 0
removed 0 of 256 bricks at b=19456; deleted bricks: 0
removed 0 of 256 bricks at b=19712; deleted bricks: 0
removed 0 of 256 bricks at b=19968; deleted bricks: 0
removed 0 of 256 bricks at b=20224; deleted bricks: 0
removed 0 of 256 bricks at b=20480; deleted bricks: 0
removed 0 of 256 bricks at b=20736; deleted bricks: 0
removed 0 of 256 bricks at b=20992; deleted bricks: 0
removed 0 of 256 bricks at b=21248; deleted bricks: 0
removed 0 of 256 bricks at b=21504; deleted bricks: 0
removed 0 of 256 bricks at b=21760; deleted bricks: 0
removed 0 of 256 bricks at b=22016; deleted bricks: 0
removed 0 of 256 bricks at b=22272; deleted bricks: 0
removed 0 of 256 bricks at b=22528; deleted bricks: 0
removed 0 of 256 bricks at b=22784; deleted bricks: 0
removed 0 of 256 bricks at b=23040; deleted bricks: 0
removed 0 of 256 bricks at b=23296; deleted bricks: 0
removed 0 of 256 bricks at b=23552; deleted bricks: 0
removed 0 of 256 bricks at b=23808; deleted bricks: 0
removed 0 of 256 bricks at b=24064; deleted bricks: 0
removed 0 of 256 bricks at b=24320; deleted bricks: 0
removed 0 of 256 bricks at b=24576; deleted bricks: 0
removed 0 of 256 bricks at b=24832; deleted bricks: 0
removed 0 of 256 bricks at b=25088; deleted bricks: 0
removed 0 of 256 bricks at b=25344; deleted bricks: 0
removed 0 of 256 bricks at b=25600; deleted bricks: 0
removed 0 of 256 bricks at b=25856; deleted bricks: 0
removed 0 of 256 bricks at b=26112; deleted bricks: 0
removed 0 of 256 bricks at b=26368; deleted bricks: 0
removed 0 of 256 bricks at b=26624; deleted bricks: 0
removed 0 of 256 bricks at b=26880; deleted bricks: 0
removed 0 of 256 bricks at b=27136; deleted bricks: 0
removed 0 of 256 bricks at b=27392; deleted bricks: 0
removed 0 of 256 bricks at b=27648; deleted bricks: 0
removed 0 of 256 bricks at b=27904; deleted bricks: 0
removed 0 of 256 bricks at b=28160; deleted bricks: 0
removed 0 of 256 bricks at b=28416; deleted bricks: 0
removed 0 of 256 bricks at b=28672; deleted bricks: 0
removed 0 of 256 bricks at b=28928; deleted bricks: 0
removed 0 of 256 bricks at b=29184; deleted bricks: 0
removed 0 of 256 bricks at b=29440; deleted bricks: 0
removed 0 of 256 bricks at b=29696; deleted bricks: 0
removed 0 of 256 bricks at b=29952; deleted bricks: 0
removed 0 of 256 bricks at b=30208; deleted bricks: 0
removed 0 of 256 bricks at b=30464; deleted bricks: 0
removed 0 of 256 bricks at b=30720; deleted bricks: 0
removed 0 of 256 bricks at b=30976; deleted bricks: 0
removed 0 of 256 bricks at b=31232; deleted bricks: 0
removed 0 of 256 bricks at b=31488; deleted bricks: 0
removed 0 of 256 bricks at b=31744; deleted bricks: 0
removed 0 of 256 bricks at b=32000; deleted bricks: 0
removed 0 of 256 bricks at b=32256; deleted bricks: 0
removed 0 of 256 bricks at b=32512; deleted bricks: 0
removed 1 of 256 bricks at b=32767; deleted bricks: 1
removed 256 of 256 bricks at b=32933; deleted bricks: 257
removed 256 of 256 bricks at b=33073; deleted bricks: 513
removed 256 of 256 bricks at b=33231; deleted bricks: 769
removed 256 of 256 bricks at b=33396; deleted bricks: 1025
removed 256 of 256 bricks at b=33557; deleted bricks: 1281
removed 256 of 256 bricks at b=33727; deleted bricks: 1537
removed 256 of 256 bricks at b=33895; deleted bricks: 1793
removed 256 of 256 bricks at b=34055; deleted bricks: 2049
removed 256 of 256 bricks at b=34223; deleted bricks: 2305
removed 256 of 256 bricks at b=34398; deleted bricks: 2561
removed 256 of 256 bricks at b=34552; deleted bricks: 2817
removed 256 of 256 bricks at b=34717; deleted bricks: 3073
removed 256 of 256 bricks at b=34885; deleted bricks: 3329
removed 256 of 256 bricks at b=35043; deleted bricks: 3585
removed 256 of 256 bricks at b=35195; deleted bricks: 3841
removed 256 of 256 bricks at b=35345; deleted bricks: 4097
removed 256 of 256 bricks at b=35507; deleted bricks: 4353
removed 256 of 256 bricks at b=35641; deleted bricks: 4609
removed 256 of 256 bricks at b=35795; deleted bricks: 4865
removed 256 of 256 bricks at b=35950; deleted bricks: 5121
removed 256 of 256 bricks at b=36106; deleted bricks: 5377
removed 256 of 256 bricks at b=36256; deleted bricks: 5633
removed 256 of 256 bricks at b=36416; deleted bricks: 5889
removed 256 of 256 bricks at b=36589; deleted bricks: 6145
removed 256 of 256 bricks at b=36745; deleted bricks: 6401
removed 256 of 256 bricks at b=36911; deleted bricks: 6657
removed 256 of 256 bricks at b=37081; deleted bricks: 6913
removed 256 of 256 bricks at b=37242; deleted bricks: 7169
removed 256 of 256 bricks at b=37386; deleted bricks: 7425
removed 256 of 256 bricks at b=37560; deleted bricks: 7681
removed 256 of 256 bricks at b=37724; deleted bricks: 7937
removed 256 of 256 bricks at b=37882; deleted bricks: 8193
removed 256 of 256 bricks at b=38045; deleted bricks: 8449
removed 256 of 256 bricks at b=38211; deleted bricks: 8705
removed 256 of 256 bricks at b=38363; deleted bricks: 8961
removed 256 of 256 bricks at b=38526; deleted bricks: 9217
removed 256 of 256 bricks at b=38693; deleted bricks: 9473
removed 256 of 256 bricks at b=38868; deleted bricks: 9729
removed 256 of 256 bricks at b=39018; deleted bricks: 9985
removed 256 of 256 bricks at b=39187; deleted bricks: 10241
removed 256 of 256 bricks at b=39347; deleted bricks: 10497
removed 256 of 256 bricks at b=39505; deleted bricks: 10753
removed 256 of 256 bricks at b=39641; deleted bricks: 11009
removed 256 of 256 bricks at b=39802; deleted bricks: 11265
removed 256 of 256 bricks at b=39954; deleted bricks: 11521
removed 256 of 256 bricks at b=40096; deleted bricks: 11777
removed 256 of 256 bricks at b=40267; deleted bricks: 12033
removed 256 of 256 bricks at b=40434; deleted bricks: 12289
removed 256 of 256 bricks at b=40577; deleted bricks: 12545
